Date,Symbol,Expiry,Option Type,Strike Price,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Premium Turnover,Open Interest,Change in OI,Underlying
2015-06-16,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,434.25,0,0.0,,0,0,8047.3
2015-06-17,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,442.55,0,0.0,,0,0,8091.55
2015-06-18,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,480.35,0,0.0,,0,0,8174.6
2015-06-19,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,493.95,0,0.0,,0,0,8224.95
2015-06-22,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,577.25,0,0.0,,0,0,8353.1
2015-06-23,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,574.55,0,0.0,,0,0,8381.55
2015-06-24,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,545.55,0,0.0,,0,0,8360.85
2015-06-25,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,551.15,0,0.0,,0,0,8398.0
2015-06-26,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,525.65,0,0.0,,0,0,8381.1
2015-06-29,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,484.75,0,0.0,,0,0,8318.4
2015-06-30,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,497.85,0,0.0,,0,0,8368.5
2015-07-01,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,544.45,0,0.0,,0,0,8453.05
2015-07-02,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,521.85,0,0.0,,0,0,8444.9
2015-07-03,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,531.6,0,0.0,,0,0,8484.9
2015-07-06,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,534.45,0,0.0,,0,0,8522.15
2015-07-07,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,509.85,0,0.0,,0,0,8510.8
2015-07-08,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,475.05,0,0.0,,0,0,8363.05
2015-07-09,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,444.3,0,0.0,,0,0,8328.55
2015-07-10,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,447.25,0,0.0,,0,0,8360.55
2015-07-13,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,506.15,0,0.0,,0,0,8459.65
2015-07-14,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,488.05,0,0.0,,0,0,8454.1
2015-07-15,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,524.45,0,0.0,,0,0,8523.8
2015-07-16,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,575.05,0,0.0,,0,0,8608.05
2015-07-17,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,560.2,0,0.0,,0,0,8609.85
